DATE (MM/DD/YYYY),HOUR-MST,Avg Avg Wind Speed @ 80m [m/s]
1/19/2011,2,5.5817
1/19/2011,3,5.8592
1/19/2011,4,6.4496
1/19/2011,5,4.1426
1/19/2011,6,2.1613
1/19/2011,7,2.6471
1/19/2011,8,1.5074
1/19/2011,9,2.6270
1/19/2011,10,1.7592
1/19/2011,11,1.8022
1/19/2011,12,3.3800
1/19/2011,13,5.2233
1/19/2011,14,10.5609
1/19/2011,15,9.5184
1/19/2011,16,8.6196
1/19/2011,17,4.0303
1/19/2011,18,2.1116
1/19/2011,19,2.7507
1/19/2011,20,1.0586
1/19/2011,21,0.9046
1/19/2011,22,0.9890
1/19/2011,23,1.8359
1/20/2011,0,4.6715
1/20/2011,1,4.5244
1/20/2011,2,2.1620
1/20/2011,3,4.0349
1/20/2011,4,3.1827
1/20/2011,5,4.0017
1/20/2011,6,3.6630
1/20/2011,7,3.5537
1/20/2011,8,6.0615
1/20/2011,9,8.7880
1/20/2011,10,9.3737
1/20/2011,11,8.0947
1/20/2011,12,6.0991
1/20/2011,13,3.2265
1/20/2011,14,2.0261
1/20/2011,15,2.9215
1/20/2011,16,10.7515
1/20/2011,17,12.2857
1/20/2011,18,14.6171
1/20/2011,19,17.2859
1/20/2011,20,18.7838
1/20/2011,21,19.0664
1/20/2011,22,17.0045
1/20/2011,23,16.0563
1/21/2011,0,14.5144
1/21/2011,1,15.7559
1/21/2011,2,20.5056
1/21/2011,3,17.6612
1/21/2011,4,22.3829
1/21/2011,5,22.9396
1/21/2011,6,22.6759
1/21/2011,7,13.6833
1/21/2011,8,5.5673
1/21/2011,9,7.4933
1/21/2011,10,5.0213
1/21/2011,11,7.7135
1/21/2011,12,8.0198
1/21/2011,13,9.7269
1/21/2011,14,10.2806
1/21/2011,15,10.5828
1/21/2011,16,15.0715
1/21/2011,17,15.6812
1/21/2011,18,14.0909
1/21/2011,19,14.1696
1/21/2011,20,13.0963
1/21/2011,21,17.1737
1/21/2011,22,4.6989
1/21/2011,23,10.0833
1/22/2011,0,7.0306
1/22/2011,1,8.3486
1/22/2011,2,4.4400
1/22/2011,3,5.3929
1/22/2011,4,5.6732
1/22/2011,5,6.6050
1/22/2011,6,16.8386
1/22/2011,7,12.2501
1/22/2011,8,9.1491
1/22/2011,9,6.9066
1/22/2011,10,10.2621
1/22/2011,11,8.3579
1/22/2011,12,8.5538
1/22/2011,13,11.9323
1/22/2011,14,10.7315
1/22/2011,15,8.6172
1/22/2011,16,7.2822
1/22/2011,17,8.9886
1/22/2011,18,7.8020
1/22/2011,19,6.6455
1/22/2011,20,5.6507
1/22/2011,21,4.3383
1/22/2011,22,5.3580
1/22/2011,23,3.1497
1/23/2011,0,2.9124
1/23/2011,1,2.5725
1/23/2011,2,1.3726
1/23/2011,3,1.9762
1/23/2011,4,1.7456
1/23/2011,5,2.4596
1/23/2011,6,4.2481
1/23/2011,7,2.6306
1/23/2011,8,3.1145
1/23/2011,9,9.2573
1/23/2011,10,7.0701
1/23/2011,11,8.2520
1/23/2011,12,7.2845
1/23/2011,13,9.0493
1/23/2011,14,10.1072
1/23/2011,15,14.6980
1/23/2011,16,15.1797
1/23/2011,17,12.2061
1/23/2011,18,13.4768
1/23/2011,19,13.0386
1/23/2011,20,12.0674
1/23/2011,21,10.7252
1/23/2011,22,13.3249
1/23/2011,23,11.6364
1/24/2011,0,12.6884
1/24/2011,1,11.7149
1/24/2011,2,12.5217
1/24/2011,3,11.8475
1/24/2011,4,9.1614
1/24/2011,5,5.3670
1/24/2011,6,1.8608
1/24/2011,7,3.7040
1/24/2011,8,2.7612
1/24/2011,9,1.4045
1/24/2011,10,2.9927
1/24/2011,11,3.1560
1/24/2011,12,4.1457
1/24/2011,13,5.2951
1/24/2011,14,4.1472
1/24/2011,15,2.6961
1/24/2011,16,2.5568
1/24/2011,17,3.2900
1/24/2011,18,3.8459
1/24/2011,19,3.6969
1/24/2011,20,2.4136
1/24/2011,21,1.7138
1/24/2011,22,0.6387
1/24/2011,23,0.7494
1/25/2011,0,1.1739
1/25/2011,1,1.6617
1/25/2011,2,1.5035
1/25/2011,3,2.1740
1/25/2011,4,2.6611
1/25/2011,5,1.1971
1/25/2011,6,1.2660
1/25/2011,7,2.4329
1/25/2011,8,3.2524
1/25/2011,9,4.2028
1/25/2011,10,3.2853
1/25/2011,11,2.4677
1/25/2011,12,1.7243
1/25/2011,13,2.6456
1/25/2011,14,3.4949
1/25/2011,15,1.6349
1/25/2011,16,2.2319
1/25/2011,17,1.5800
1/25/2011,18,1.7707
1/25/2011,19,2.8147
1/25/2011,20,1.7549
1/25/2011,21,1.2419
1/25/2011,22,2.5091
1/25/2011,23,1.1955
1/26/2011,0,1.8159
1/26/2011,1,2.0629
1/26/2011,2,2.4126
1/26/2011,3,1.8455
1/26/2011,4,1.3241
1/26/2011,5,1.9277
1/26/2011,6,1.0718
1/26/2011,7,0.7162
1/26/2011,8,1.2480
1/26/2011,9,2.2109
1/26/2011,10,3.1925
1/26/2011,11,3.4332
1/26/2011,12,4.0841
1/26/2011,13,3.5162
1/26/2011,14,2.7460
1/26/2011,15,2.5037
1/26/2011,16,3.6490
1/26/2011,17,5.9893
1/26/2011,18,9.5165
1/26/2011,19,9.7452
1/26/2011,20,13.3925
1/26/2011,21,12.4359
1/26/2011,22,11.2341
1/26/2011,23,10.3382
1/27/2011,0,9.7414
1/27/2011,1,8.5908
1/27/2011,2,6.5956
1/27/2011,3,6.6114
1/27/2011,4,8.4444
1/27/2011,5,7.8054
1/27/2011,6,5.7140
1/27/2011,7,8.4686
1/27/2011,8,8.9884
1/27/2011,9,7.7293
1/27/2011,10,4.2767
1/27/2011,11,3.3932
1/27/2011,12,2.9017
1/27/2011,13,2.8124
1/27/2011,14,5.2998
1/27/2011,15,5.7185
1/27/2011,16,9.3777
1/27/2011,17,9.0685
1/27/2011,18,8.8790
1/27/2011,19,9.2677
1/27/2011,20,8.1428
1/27/2011,21,7.4400
1/27/2011,22,6.6366
1/27/2011,23,8.1497
1/28/2011,0,7.9343
1/28/2011,1,10.6375
1/28/2011,2,9.8495
1/28/2011,3,9.4327
1/28/2011,4,11.5999
1/28/2011,5,11.5252
1/28/2011,6,11.6863
1/28/2011,7,11.4670
1/28/2011,8,10.7938
1/28/2011,9,10.7959
1/28/2011,10,2.9621
1/28/2011,11,3.5977
1/28/2011,12,6.2913
1/28/2011,13,7.9462
1/28/2011,14,8.4214
1/28/2011,15,5.8813
1/28/2011,16,6.7107
1/28/2011,17,4.9466
1/28/2011,18,2.8177
1/28/2011,19,2.1099
