"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"0035085060","0103","2020-06-03T20:00:00.000","0.4","ZETAQUIRA - AUT","BOYACÁ","ZETAQUIRÁ","META","5.294944444","-73.16994444","Velocidad Viento (10 min)","m/s"
"0037015030","0103","2020-06-03T20:20:00.000","4.9","BERLIN - AUT","SANTANDER","TONA","ARAUCA","7.187","-72.8685","Velocidad Viento (10 min)","m/s"
"0029065501","0103","2020-06-03T02:20:00.000","2.081201","CIENAGA,LA  - AUT","MAGDALENA","CIÉNAGA","BAJO MAGDALENA","10.89785833","-74.08156667","Velocidad Viento (10 min)","m/s"
"0029065130","0103","2020-06-03T07:50:00.000","1.2","LA GRAN VIA - AUT","MAGDALENA","ZONA BANANERA","BAJO MAGDALENA","10.85","-74.13333333","Velocidad Viento (10 min)","m/s"
"2403500083","0103","2020-06-03T16:40:00.000","6.2","PESCA - AUT","BOYACÁ","PESCA","SOGAMOSO","5.523033333","-73.076847222","Velocidad Viento (10 min)","m/s"
"2201500047","0103","2020-06-03T07:30:00.000","1.8","HERRERA - AUT","TOLIMA","PLANADAS","SALDAÑA","3.284138889","-75.80245","Velocidad Viento (10 min)","m/s"
"0023195090","0103","2020-06-03T19:40:00.000","0.4","VIVERO SURATA  - AUT","SANTANDER","SURATÁ","MEDIO MAGDALENA","7.365833333","-72.9875","Velocidad Viento (10 min)","m/s"
"0026065502","0103","2020-06-03T13:55:00.000","3.695871","TRINIDAD LA  - AUT","CAUCA","PIENDAMÓ","CAUCA","2.750555556","-76.57916667","Velocidad Viento (10 min)","m/s"
"0015065180","0103","2020-06-03T07:40:00.000","3.5","APTO ALMIRANTE PADILLA TX GPRS","LA GUAJIRA","RIOHACHA","CARIBE - GUAJIRA","11.53","-72.918","Velocidad Viento (10 min)","m/s"
"0024035390","0103","2020-06-03T12:10:00.000","3.5","PARAMO ALMORZADERO  - AUT","SANTANDER","CERRITO","SOGAMOSO","6.945388889","-72.69633333","Velocidad Viento (10 min)","m/s"
"0021205502","0103","2020-06-03T12:10:00.000","0.3457413","MISIONES  - AUT","CUNDINAMARCA","EL COLEGIO","ALTO MAGDALENA","4.544997222","-74.44055556","Velocidad Viento (10 min)","m/s"
"0015075501","0103","2020-06-03T12:30:00.000","6.4","AEROPUERTO PUERTO BOLIVAR  - AUT","LA GUAJIRA","URIBIA","CARIBE - GUAJIRA","12.22430556","-71.98288889","Velocidad Viento (10 min)","m/s"
"0047015100","0103","2020-06-03T21:50:00.000","0.9","EL ENCANO - AUT","NARIÑO","PASTO","PUTUMAYO","1.159944444","-77.16147222","Velocidad Viento (10 min)","m/s"
"3503500062","0103","2020-06-03T18:10:00.000","0.5","EL CALVARIO - AUT","META","EL CALVARIO","META","4.350355556","-73.711511111","Velocidad Viento (10 min)","m/s"
"0021165501","0103","2020-06-03T11:10:00.000","2.437863","DOLORES  - AUT","TOLIMA","DOLORES","ALTO MAGDALENA","3.537155556","-74.82982778","Velocidad Viento (10 min)","m/s"
"0029015040","0103","2020-06-03T12:00:00.000","1.2","CARMEN DE BOLIVAR  - AUT","BOLIVAR","EL CARMÉN DE BOLÍVAR","BAJO MAGDALENA","9.71575","-75.10641667","Velocidad Viento (10 min)","m/s"
"2901500072","0103","2020-06-03T14:30:00.000","1.3","HOBO - AUT","BOLIVAR","EL CARMÉN DE BOLÍVAR","BAJO MAGDALENA","9.672419444","-75.236458333","Velocidad Viento (10 min)","m/s"
"0026155150","0103","2020-06-03T03:10:00.000","2.6","LAS BRISAS - AUT","CALDAS","VILLAMARIA","MEDIO MAGDALENA","4.934527778","-75.35038889","Velocidad Viento (10 min)","m/s"
"2401500086","0103","2020-06-03T20:20:00.000","1.4","TUNJA-U.P.T.C - AUT","BOYACÁ","SAMACÁ","SOGAMOSO","5.4417","-73.5522","Velocidad Viento (10 min)","m/s"
"0016015130","0103","2020-06-03T12:00:00.000","3.3","ALCALDIA DE HERRAN  - AUT","NORTE DE SANTANDER","HERRÁN","CATATUMBO","7.506722222","-72.48536111","Velocidad Viento (10 min)","m/s"
"2403500041","0103","2020-06-03T08:10:00.000","1","DUITAMA - AUT","BOYACÁ","PAIPA","SOGAMOSO","5.78755","-73.081783333","Velocidad Viento (10 min)","m/s"
"3702500113","0103","2020-06-03T12:30:00.000","1.2","CAMPO HERMOSO - AUT","NORTE DE SANTANDER","TOLEDO","ARAUCA","7.099138889","-72.300419444","Velocidad Viento (10 min)","m/s"
"0035025502","0103","2020-06-03T08:40:00.000","1.448","LA ESMERALDA-  - AUT","BOGOTA","BOGOTA, D.C","META","4.56","-74","Velocidad Viento (10 min)","m/s"
"0024015503","0103","2020-06-03T04:45:00.000","0","CONFINES  - AUT","SANTANDER","CONFINES","SOGAMOSO","6.373027778","-73.20760833","Velocidad Viento (10 min)","m/s"
"0021205517","0103","2020-06-03T14:10:00.000","0.821","PARQUE SOPO  - AUT","CUNDINAMARCA","SOPÓ","ALTO MAGDALENA","4.788","-74.05","Velocidad Viento (10 min)","m/s"
"0035185010","0103","2020-06-03T16:00:00.000","0.5","LA PALOMERA - AUT","META","PUERTO LÓPEZ","META","4.260361111","-72.56447222","Velocidad Viento (10 min)","m/s"
